ACC=0.621241, f1_macro=0.610624, precision_macro=0.679925, recall_macro=0.651938, f1_micro=0.621241, precision_micro=0.621241, recall_micro=0.621241, NMI=0.318299, ADJ_RAND_SCORE=0.283086
ACC=0.621393, f1_macro=0.610814, precision_macro=0.680122, recall_macro=0.652067, f1_micro=0.621393, precision_micro=0.621393, recall_micro=0.621393, NMI=0.318792, ADJ_RAND_SCORE=0.283436
ACC=0.621393, f1_macro=0.610815, precision_macro=0.680202, recall_macro=0.652067, f1_micro=0.621393, precision_micro=0.621393, recall_micro=0.621393, NMI=0.318678, ADJ_RAND_SCORE=0.283346
ACC=0.621393, f1_macro=0.610814, precision_macro=0.680122, recall_macro=0.652067, f1_micro=0.621393, precision_micro=0.621393, recall_micro=0.621393, NMI=0.318792, ADJ_RAND_SCORE=0.283436
ACC=0.621241, f1_macro=0.610624, precision_macro=0.679925, recall_macro=0.651938, f1_micro=0.621241, precision_micro=0.621241, recall_micro=0.621241, NMI=0.318299, ADJ_RAND_SCORE=0.283086
ACC=0.621291, f1_macro=0.610694, precision_macro=0.680122, recall_macro=0.651944, f1_micro=0.621291, precision_micro=0.621291, recall_micro=0.621291, NMI=0.318480, ADJ_RAND_SCORE=0.283204
ACC=0.621342, f1_macro=0.610756, precision_macro=0.680168, recall_macro=0.651986, f1_micro=0.621342, precision_micro=0.621342, recall_micro=0.621342, NMI=0.318497, ADJ_RAND_SCORE=0.283216
ACC=0.623168, f1_macro=0.613012, precision_macro=0.680926, recall_macro=0.652419, f1_micro=0.623168, precision_micro=0.623168, recall_micro=0.623168, NMI=0.314648, ADJ_RAND_SCORE=0.280841
ACC=0.623066, f1_macro=0.612858, precision_macro=0.680965, recall_macro=0.652374, f1_micro=0.623066, precision_micro=0.623066, recall_micro=0.623066, NMI=0.314807, ADJ_RAND_SCORE=0.280891
ACC=0.623168, f1_macro=0.612965, precision_macro=0.680946, recall_macro=0.652419, f1_micro=0.623168, precision_micro=0.623168, recall_micro=0.623168, NMI=0.314715, ADJ_RAND_SCORE=0.280856
ACC=0.623066, f1_macro=0.612858, precision_macro=0.680965, recall_macro=0.652374, f1_micro=0.623066, precision_micro=0.623066, recall_micro=0.623066, NMI=0.314807, ADJ_RAND_SCORE=0.280891
